date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2023-09-28,Laramie,WY,"Kappa Kappa Gamma, University of Wyoming",,3,3,3,Rocky Mountain Women's Network,out-of-state activists,"against admission of transgender woman Artemis Langford to Kappa Kappa Gamma sorority at University of Wyoming, for women's sex-based rights, Artemis Langford is a man, everybody knows Dalin ""Artemis"" Langford is a man, woman / noun / adult human female, defend reality / transgender ideology defies basic biology / only women give birth, humans cannot change sex, stop female erasure in language and in law around the world, no child is born in the wrong body, woman is not a debate, women and girls have a right to female-only spaces, transwomen are men, women and girls deserve privacy safety and dignity on the basis of sex, reality matters / sex matters / male/female #LetWomenSpeak",2,demonstration; banner drop,called to scene,placed flyers and rocks with messages outside sorority house; chalked sidewalk; placed stickers around campus,,,,,,,,article says it was a Colorado group but doesn't name group,,https://wyofile.com/out-of-state-anti-trans-group-stages-protest-at-uw-sorority/,https://www.wyomingnews.com/laramieboomerang/news/out-of-state-anti-trans-group-stages-protest-at-uw-sorority/article_225d0630-6153-11ee-9ce9-73b131effd03.html,https://cowboystatedaily.com/2023/09/29/activists-naming-transgender-sorority-member-with-fliers-and-chalk-within-their-rights-uw-says/,https://twitter.com/Yola_the_TERF/status/1707151514324603126,https://twitter.com/goeke_christina/status/1708129910953582714,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,Los Angeles,CA,Ronald Reagan State Building,,count video,20,30,Alliance for Californians for Community Empowerment,,"for SB 567, for state legislation to protect tenants' rights, for affordable housing, no more rent increases, cancelen la deuda de renta, coward!",0,protest,on scene; officers escorted protesters out of building; scuffled with protesters who were preventing door from closing; one officer fell and apparently injured himself while pushing a protester then drew his service gun,attempted letter delivery,1,,,,,,,,,https://ktla.com/news/local-news/california-highway-patrol-officer-hurt-during-scuffle-with-protester/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,Napa,CA,3020 Browns Valley Rd,,,,,,,"against antisemitism, against bigotry, hate is not a Napa value",1,demonstration,,truck with large sign parked in front of target's house,,,,,,,,planned thru end of Oct 2023,,https://napavalleyregister.com/news/local/napan-protests-hate-messages-with-his-own-sign-campaign-on-browns-valley-road/article_fd43e002-5280-11ee-9e6b-cfd61e5f0f6b.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,New York,NY,25 Landis Ave,,approximately 200,200,200,Protect Our Children New York; Guardian Angels,elected officials,"against housing asylum seekers in New York City, against illegal immigration, American flag, Gadsden flag, protect our children, get out of my country, send them back / close the border, Join or Die flag",2,rally,on scene; barricades,amplified sound; shined flashlights into windows of building housing asylum seekers; played loud amplified music,,,,,,,,"feat. Johnny Tabacco, Curtis Sliwa, Scott LoBaito",,https://www.instagram.com/p/Cxo1liwN6qj/,https://www.vice.com/en/article/v7bpb3/staten-island-immigrants-protest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,New York,NY,"Museum of Chinese in America, 215 Centre St",March Against Displacement and Racist Violence,,,,Youth Against Displacement,,"in solidarity with workers at Jing Fong restaurant, against gentrification and displacement from Chinatown, against racism",1,picket,,,,,,,,,,every Thursday thru Sunday,,https://docs.google.com/forms/d/e/1FAIpQLSexLtzOKkZaCS9V-BiKJUeXEUQu0rGczFqAhrC5rBSOW-Qe6w/viewform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,New York,NY,One Police Plaza,Rally for Kawaski Trawick,count video,40,50,VOCAL-NY; Justice Committee; Jews for Racial and Economic Justice; Make the Road NY; Legal Defense Fund; The CCR; Audre Lorde Project; ; Lambda Independent Democrats of Brooklyn; Housing Works,advocates; elected officials,"for justice for Kawaski Trawick, against police brutality, for police accountability, justice for Kawaski, Mayor Adams and Commissioner Sewell: fire officers Brendan Thompson and Herbert Davis",1,rally,,,,,,,,,,,,https://twitter.com/JooHyun_Kang/status/1706995434730709337,https://twitter.com/MaketheRoadNY/status/1707418540309954712,https://bronx.news12.com/advocates-rally-for-nypd-officers-to-be-fired-in-kawaski-trawick-death,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,New York,NY,"Stonewall National Monument, Manhattan",Stonewall Was a Riot,,,,,,for queer liberation,1,march,,,,,,,,,,every Thursday,,https://www.instagram.com/p/CwAqBL_uSga/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,Newport News,VA,,,,,,Patriot Front,,"for white supremacy, for patriotism, strong families strong nation",2,banner drop,,,,,,,,,,"date not specified, so dating to day before post",,https://t.me/PatriotFrontUpdates/17027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,North Andover,MA,North Andover High School,,count video,25,35,North Andover Teachers Association; Andover Education Association,teachers,"for higher pay for North Andover teachers, underpaid / undervalued / underestimated, you can't put students 1st if you put teachers last, more than praise we deserve a raise, we teach / we care / be fair, teachers made your job possible, honk if your child deserves excellent teachers, it's time to use our outside voices",0,rally,,red t-shirts,,,,,,,,,,https://www.nbcboston.com/multimedia/north-andover-teachers-rally-for-higher-pay/3147778/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,Oklahoma City,OK,Oliver Hodge Building,,count pic,15,20,,parents,"against state superintendent of schools Ryan Walters, veterans against Christo-fascism, education not indoctrination, lying Ryan, Prager U right-wing indoctrination, stop bullying our schools, education is inclusive, we say queer",1,demonstration,,verbal clashes with counter-protesters,,,,,,,20230928-okc-ryanwalters,outside ahead of State Board of Education meeting,,https://www.oklahoman.com/picture-gallery/news/2023/09/28/oklahoma-state-board-education-september-meeting-ryan-walters-protestors/70992257007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
